region,pop_code,Fam,Ind,ind_code,index,1C,CV_Solanum,CV_Sample,batch
NY,CB,CB1,CB1-2C,CB12C,1.499,1.94,3.44,2.25,3
NY,CB,CB1,CB1-1C,CB11C,1.476,1.91,2.76,2.29,3
NY,CB,CB1,CB1-1B,CB11B,1.49,1.93,3.43,3.2,3
NY,CB,CB12,CB12-2,CB122A,1.484,1.92,2.83,2.59,1
NY,CB,CB12,CB12-1B,CB121B,1.482,1.92,3.48,3.29,3
NY,CB,CB12,CB12-2B,CB122B,1.454,1.88,3.37,2.66,4
NY,CB,CB14,CB14-1,CB141A,1.506,1.95,2.89,2.72,1
NY,CB,CB14,CB14-2C,CB142C,1.518,1.97,2.8,2.24,3
NY,CB,CB14,CB14-1C,CB141C,1.486,1.92,3.3,2.51,4
NY,CB,CB2,CB2-3,CB23A,1.615,2.09,3.11,3.9,1
NY,CB,CB2,CB2-2C,CB22C,1.466,1.90,2.67,2.34,3
NY,CB,CB21,CB21-2,CB212A,1.501,1.94,3.46,2.99,1
NY,CB,CB21,CB21-2B,CB212B,1.479,1.92,2.95,2.67,4
NY,CB,CB21,CB21-1B,CB211B,1.492,1.93,2.51,2.67,4
NY,CB,CB4,CB4-1,CB41A,1.498,1.94,3.11,3.06,1
NY,CB,CB4,CB4-1,CB41B,1.493,1.93,3.34,3.59,2
NY,CB,CB4,CB4-1C,CB41C,1.426,1.85,3.2,2.73,4
NY,CB,CB5,CB5-2,CB52A,1.503,1.95,3.47,3.33,1
NY,CB,CB5,CB5-2,CB52B,1.491,1.93,2.62,2.49,2
NY,CB,CB5,CB5-1B,CB51B,1.476,1.91,2.97,2.51,4
NY,CB,CB7,CB7-2,CB72B,1.473,1.91,2.76,2.59,2
NY,CB,CB7,CB7-1,CB71B,1.509,1.95,2.76,2.68,2
NY,CB,CB7,CB7-2C,CB72C,1.481,1.92,3.04,2.32,3
NY,CB,CB8,CB8-3,CB83A,1.513,1.96,3.17,2.54,1
NY,CB,CB8,CB8-1,CB81B,1.486,1.92,2.77,2.18,2
NY,CB,CB8,CB8-2B,CB82B,1.487,1.93,3.65,2.72,4
NY,CB,CB9,CB9-1,CB91B,1.489,1.93,2.54,2.28,2
NY,CB,CB9,CB9-2B,CB92B,1.491,1.93,3.34,2.83,4
NY,CB,CB9,CB9-1C,CB91C,1.505,1.95,3.36,2.92,4
VT,CH,CH1,CH1-2C,CH12C,1.448,1.88,2.5,2.03,3
VT,CH,CH1,CH1-1C,CH11C,1.486,1.92,2.47,2.12,3
VT,CH,CH1,CH1-1B,CH11B,1.45,1.88,3.35,3.3,4
VT,CH,CH12,CH12-1,CH121A,1.458,1.89,3.3,3.55,1
VT,CH,CH12,CH12-3C,CH123C,1.477,1.91,2.69,2.18,3
VT,CH,CH12,CH12-2C,CH122C,1.455,1.88,2.88,2.57,3
VT,CH,CH15,CH15-2,CH152A,1.477,1.91,2.26,2.12,1
VT,CH,CH15,CH15-2,CH152B,1.475,1.91,3.22,2.41,2
VT,CH,CH15,CH15-1C,CH151C,1.44,1.86,3.44,3.26,3
VT,CH,CH17,CH17-2,CH172B,1.459,1.89,2.71,2.46,2
VT,CH,CH17,CH17-1,CH171B,1.468,1.90,2.72,4.12,2
VT,CH,CH17,CH17-2C,CH172C,1.455,1.88,3.47,3.09,3
VT,CH,CH2,CH2-3,CH23A,1.46,1.89,3.07,3.78,1
VT,CH,CH2,CH2-2C,CH22C,1.458,1.89,3.63,2.83,3
VT,CH,CH2,CH2-1C,CH21C,1.438,1.86,2.58,2.22,3
