crossID,matGDam,matGSire,damInd,patGDam,patGSire,sireInd,dam,sire,noDevSeeds,noSmallSeeds,totalSeeds
2,JF14.1,FC21.1,2A,JF14.1,FC21.1,3,JF14.1xFC21.1,JF14.1xFC21.1,0,0,0
5,JF14.1,FC21.1,3A,JF14.1,FC21.1,2A,JF14.1xFC21.1,JF14.1xFC21.1,19,11,30
8,JF14.1,FC21.1,2A,JF14.1,FC21.1,3,JF14.1xFC21.1,JF14.1xFC21.1,0,0,0
9,JF14.1,FC21.1,6,JF14.1,FC21.1,2A,JF14.1xFC21.1,JF14.1xFC21.1,0,42,42
10,JF14.1,FC21.1,6,JF14.1,FC21.1,2A,JF14.1xFC21.1,JF14.1xFC21.1,0,0,0
16,JF14.1,FC21.1,3B,JF14.1,FC21.1,3A,JF14.1xFC21.1,JF14.1xFC21.1,6,0,6
19,JF14.1,FC21.1,2B,JF14.1,FC21.1,3B,JF14.1xFC21.1,JF14.1xFC21.1,1,0,1
20,JF14.1,FC21.1,3A,JF14.1,FC21.1,2B,JF14.1xFC21.1,JF14.1xFC21.1,0,0,0
21,JF14.1,FC21.1,3B,JF14.1,FC21.1,3A,JF14.1xFC21.1,JF14.1xFC21.1,6,9,15
22,JF14.1,FC21.1,2B,JF14.1,FC21.1,3A,JF14.1xFC21.1,JF14.1xFC21.1,0,0,0
25,JF14.1,FC21.1,3B,JF14.1,FC21.1,2B,JF14.1xFC21.1,JF14.1xFC21.1,2,0,2
26,JF14.1,FC21.1,2B,JF14.1,FC21.1,3A,JF14.1xFC21.1,JF14.1xFC21.1,0,0,0
30,JF14.1,FC21.1,2B,JF14.1,FC21.1,3B,JF14.1xFC21.1,JF14.1xFC21.1,1,0,1
31,JF14.1,FC21.1,3A,JF14.1,FC21.1,2B,JF14.1xFC21.1,JF14.1xFC21.1,0,0,0
32,JF14.1,FC21.1,2B,JF14.1,FC21.1,3A,JF14.1xFC21.1,JF14.1xFC21.1,0,0,0
