ind_code,region,pop_code,fam,fam2,index,X1C,CV_Solanum,CV_Sample,batch,ht,stemwid,numcap,numfls,dff,bench,BIOMASS,SLA
CB1-1A,NY,CB,CB1,CB.1,NA,NA,NA,NA,NA,117.3,7.1,7,0,65,A,17.8,3.619114737
CB1-1B,NY,CB,CB1,CB.1,1.49,1.93,3.43,3.2,3,97.5,5.7,31,0,62,B,16.7,3.619114737
CB1-1C,NY,CB,CB1,CB.1,1.476,1.91,2.76,2.29,3,100.4,6.2,1,0,NA,C,10,5.322227554
CB1-2B,NY,CB,CB1,CB.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,9.7,3.769911184
CB1-2C,NY,CB,CB1,CB.1,1.499,1.94,3.44,2.25,3,112.1,6,21,0,NA,C,15.5,3.933820366
CB1-3A,NY,CB,CB1,CB.1,NA,NA,NA,NA,NA,121.3,9.45,2,0,73,A,14.4,4.89069559
CB12-1B,NY,CB,CB12,CB.12,1.482,1.92,3.48,3.29,3,NA,NA,NA,NA,NA,B,7.1,3.933820366
CB12-1C,NY,CB,CB12,CB.12,NA,NA,NA,NA,NA,103.7,5.34,18,0,NA,C,14.6,2.154234962
CB12-2A,NY,CB,CB12,CB.12,1.484,1.92,2.83,2.59,1,129.1,5.5,26,0,63,A,16.4,3.769911184
CB12-2B,NY,CB,CB12,CB.12,1.454,1.88,3.37,2.66,4,93.2,6.22,24,8,53,B,18.8,2.54867235
CB12-2C,NY,CB,CB12,CB.12,NA,NA,NA,NA,NA,70.5,5.12,1,0,NA,C,6.6,4.413554557
CB12-3A,NY,CB,CB12,CB.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,5.1,4.89069559
CB14-1A,NY,CB,CB14,CB.14,1.506,1.95,2.89,2.72,1,128.8,6.31,22,0,61,A,28,2.445347795
CB14-1B,NY,CB,CB14,CB.14,NA,NA,NA,NA,NA,122.4,6.9,3,0,NA,B,18.6,2.622546911
CB14-1C,NY,CB,CB14,CB.14,1.486,1.92,3.3,2.51,4,104.5,6.5,17,0,67,C,21,2.412743158
CB14-2B,NY,CB,CB14,CB.14,NA,NA,NA,NA,NA,107.8,8.2,27,0,53,B,19.8,2.010619298
CB14-2C,NY,CB,CB14,CB.14,1.518,1.97,2.8,2.24,3,NA,NA,NA,NA,NA,C,5.9,4.468042885
CB2-1B,NY,CB,CB2,CB.2,NA,NA,NA,NA,NA,102,7.1,15,0,62,B,14.9,3.414259186
CB2-1C,NY,CB,CB2,CB.2,NA,NA,NA,NA,NA,98,6.36,24,0,62,C,17,3.619114737
CB2-2A,NY,CB,CB2,CB.2,NA,NA,NA,NA,NA,151.4,6.79,13,0,63,A,23.3,2.154234962
CB2-2B,NY,CB,CB2,CB.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,11.7,3.015928947
CB2-2C,NY,CB,CB2,CB.2,1.466,1.9,2.67,2.34,3,105.6,6.61,12,0,NA,C,9.1,4.308469925
CB2-3A,NY,CB,CB2,CB.2,1.615,2.09,3.11,3.9,1,139,6.1,20,0,59,A,14,3.290104306
CB21-1A,NY,CB,CB21,CB.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,6.5,2.585081955
CB21-1B,NY,CB,CB21,CB.21,1.492,1.93,2.51,2.67,4,NA,NA,NA,NA,NA,B,8.7,4.308469925
CB21-1C,NY,CB,CB21,CB.21,NA,NA,NA,NA,NA,100,6.08,20,0,63,C,22.9,2.918640917
CB21-2A,NY,CB,CB21,CB.21,1.501,1.94,3.46,2.99,1,NA,NA,NA,NA,NA,A,4.3,4.639890688
CB21-2B,NY,CB,CB21,CB.21,1.479,1.92,2.95,2.67,4,85,5.58,24,2,57,B,14.1,3.067046387
CB21-3C,NY,CB,CB21,CB.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,11,3.850122061
CB4-1A,NY,CB,CB4,CB.4,1.498,1.94,3.11,3.06,1,120.3,7.1,31,0,62,A,21.6,2.872313283
CB4-1B,NY,CB,CB4,CB.4,1.493,1.93,3.34,3.59,2,103.7,5.92,20,2,52,B,13.8,2.056315191
CB4-1C,NY,CB,CB4,CB.4,1.426,1.85,3.2,2.73,4,113.7,5.6,10,0,71,C,19.2,3.067046387
CB4-2A,NY,CB,CB4,CB.4,NA,NA,NA,NA,NA,101.3,5.72,20,0,63,A,16,1.988524581
CB4-2C,NY,CB,CB4,CB.4,NA,NA,NA,NA,NA,128.2,6.51,17,0,65,C,18.3,3.548151703
CB4-3A,NY,CB,CB4,CB.4,NA,NA,NA,NA,NA,86.5,6.92,0,0,NA,A,6.3,3.479918016
CB5-1A,NY,CB,CB5,CB.5,NA,NA,NA,NA,NA,116.7,9.18,9,0,73,A,12.1,4.112630383
CB5-1B,NY,CB,CB5,CB.5,1.476,1.91,2.97,2.51,4,110.5,5.6,26,3,58,B,21,3.351032164
CB5-1C,NY,CB,CB5,CB.5,NA,NA,NA,NA,NA,103.4,5.23,31,1,56,C,17.1,2.700831893
CB5-2A,NY,CB,CB5,CB.5,1.503,1.95,3.47,3.33,1,103.8,6.41,4,0,73,A,16.2,3.850122061
CB5-2B,NY,CB,CB5,CB.5,1.491,1.93,2.62,2.49,2,109.5,6.4,11,0,69,B,18.7,2.513274123
