pop	Ind	AnK2_K1	AnK2_K2	AnK3_K3	GenSize	PC1	PC2	PC3	PC4	HybClass_LDjacea	HybClass_LDnigra
CB	CB.10	0.425885	0.574115	0.856982	NA	1.730346415	4.816691975	-2.368535344	5.147393167	BC2_jacea	F2
CB	CB.11	0.328205	0.671795	0.947187	NA	0.798076909	3.291987174	-0.88194134	1.634422934	jacea	F2
CB	CB.12	0.370936	0.629064	0.934704	1.906666667	1.342553158	5.153078123	-3.108083966	3.47239082	BC2_jacea	BC1_jacea
CB	CB.13	0.506002	0.493998	0.824262	NA	2.051686167	4.412019429	-3.705737887	4.991611409	F2	F2
CB	CB.14	0.558077	0.441923	0.734091	1.946666667	3.037428225	3.631720037	-3.021537995	5.511066862	F2	F2
CB	CB.15	0.467727	0.532273	0.837127	NA	0.957027617	1.967126593	-0.266304791	1.463015552	BC2_jacea	F2
CB	CB.16	0.358044	0.641956	0.955754	NA	0.903750851	4.03577011	-2.236218369	2.49239071	BC2_jacea	F2
CB	CB.17	0.510446	0.489554	0.778139	NA	2.510293945	3.997512003	-1.393508363	3.954261344	F2	F2
CB	CB.18	0.423928	0.576072	0.870183	NA	1.661748295	5.009325807	-0.757985963	3.859637973	BC1_jacea	F2
CB	CB.19	0.334342	0.665658	0.907881	NA	0.61520221	2.741207964	-0.520860835	1.758527589	BC2_jacea	F2
CB	CB.20	0.390508	0.609492	0.829981	NA	0.271182714	1.726646073	-0.898495238	1.190332099	BC2_jacea	F2
CB	CB.3	0.503793	0.496207	0.7585	NA	2.296569511	2.963952559	-2.539389581	5.062284	BC2_jacea	F2
CB	CB.5	0.486618	0.513382	0.865919	1.93	1.531975691	2.684639235	0.432569581	-0.383115816	F2	F2
CB	CB.6	0.331479	0.668521	0.99998	NA	0.348267348	3.387594987	-1.761838699	2.254655797	BC2_jacea	F2
CB	CB.7	0.38761	0.61239	0.985456	1.926666667	1.106857263	5.46161916	-2.222734682	4.428913861	BC2_jacea	F2
CB	CB.8	0.446987	0.553013	0.833215	1.936666667	1.778440956	4.180145932	-2.13371409	5.419709616	BC1_jacea	BC1_jacea
CB	CB.9	0.32146	0.67854	0.963524	1.936666667	-0.259315714	4.849479648	-1.944362779	5.009779002	BC2_jacea	F2
CH	CH.1	0.479566	0.520434	0.070196	1.88	2.216954594	-2.068843641	5.819453176	-3.418176754	BC1_jacea	F2
CH	CH.10	0.194136	0.805864	0.00001	NA	-0.63247394	-2.140082414	2.722025921	1.344399522	BC2_jacea	BC2_jacea
CH	CH.11	1.00E-05	0.99999	0.00001	NA	-2.670083002	-1.27165421	0.18453446	0.100304606	jacea	jacea
