tube ,Replicate,cross,Dam,damFam,Sire,sireFam,F1_FCM
1,1,CB_9_1_x_PR_16_2,CB_9_1,CB_9,PR_16_2,PR_16,1.93311935
2,3,CB_9_1_x_PR_16_2,CB_9_1,CB_9,PR_16_2,PR_16,1.883704525
3,1,CH_2_2_x_MP_12_1,CH_2_2,CH_2,MP_12_1,MP_12,1.864175326
4,5,CH_2_2_x_MP_12_1,CH_2_2,CH_2,MP_12_1,MP_12,1.902468779
5,2,CO_6_2_x_CB_4_1,CO_6_2,CO_6,CB_4_1,CB_4,1.90888826
6,4,CO_6_2_x_CB_4_1,CO_6_2,CO_6,CB_4_1,CB_4,1.926209635
7,1,CO_9_1_x_HV_18_1,CO_9_1,CO_9,HV_18_1,HV_18,1.832963159
8,6,CO_9_1_x_HV_18_1,CO_9_1,CO_9,HV_18_1,HV_18,1.886888305
9,2,CO_11_1_x_FL_9_1,CO_11_1,CO_11,FL_9_1,FL_9,1.879448384
10,4,CO_11_1_x_FL_9_1,CO_11_1,CO_11,FL_9_1,FL_9,1.850278287
11,4A,CO_11_1_x_FL_9_1,CO_11_1,CO_11,FL_9_1,FL_9,1.863219349
12,6,CO_11_1_x_SP_20_2,CO_11_1,CO_11,SP_20_2,SP_20,1.866117191
13,6A,CO_11_1_x_SP_20_2,CO_11_1,CO_11,SP_20_2,SP_20,1.8651441
14,1,DF_19_2_x_CO_19_1,DF_19_2,DF_19,CO_19_1,CO_19,1.942785052
15,4,DF_19_2_x_CO_19_1,DF_19_2,DF_19,CO_19_1,CO_19,1.915314643
16,5,DF_19_2_x_CO_19_1,DF_19_2,DF_19,CO_19_1,CO_19,1.916148219
17,1,FC_9_2_x_JF_25_1,FC_9_2,FC_9,JF_25_1,JF_25,1.864115344
18,2,FC_9_2_x_JF_25_1,FC_9_2,FC_9,JF_25_1,JF_25,1.863828265
19,4,FC_9_2_x_JF_25_1,FC_9_2,FC_9,JF_25_1,JF_25,1.8251589
20,1,FL_6_2_x_LH_10_2,FL_6_2,FL_6,LH_10_2,LH_10,1.897098152
21,2,FL_6_2_x_LH_10_2,FL_6_2,FL_6,LH_10_2,LH_10,1.887703682
22,3,FL_6_2_x_LH_10_2,FL_6_2,FL_6,LH_10_2,LH_10,1.867467763
23,1,FL_9_2_x_JF_25_1,FL_9_2,FL_9,JF_25_1,JF_25,1.879866757
24,2,FL_9_2_x_JF_25_1,FL_9_2,FL_9,JF_25_1,JF_25,1.863848768
25,3,FL_9_2_x_JF_25_1,FL_9_2,FL_9,JF_25_1,JF_25,1.838066592
26,3,FL_9_2_x_MC_4_2,FL_9_2,FL_9,MC_4_2,MC_4,1.847032307
26,5,FL_9_2_x_MC_4_2,FL_9_2,FL_9,MC_4_2,MC_4,1.881571206
28,6,FL_9_2_x_MC_4_2,FL_9_2,FL_9,MC_4_2,MC_4,1.862821185
29,1,FC_21_1_x_WV_3_2,FC_21_1,FC_21,WV_3_2,WV_3,1.87647184
30,2,JV_13_1_x_CB_9_1,JV_13_1,JV_13,CB_9_1,CB_9,1.895151292
31,4,JV_13_1_x_CB_9_1,JV_13_1,JV_13,CB_9_1,CB_9,1.866261711
32,5,JV_13_1_x_CB_9_1,JV_13_1,JV_13,CB_9_1,CB_9,1.93609605
33,0,JF_14_1_x_FC_21_1,JF_14_1,JF_14,FC_21_1,FC_21,1.915227249
34,1,JF_25_1_x_RM_54_2,JF_25_1,JF_25,RM_54_2,RM_54,1.93264375
35,4,JF_25_1_x_RM_54_2,JF_25_1,JF_25,RM_54_2,RM_54,1.92910529
36,6,JF_25_1_x_RM_54_2,JF_25_1,JF_25,RM_54_2,RM_54,1.921196032
37,2,LH_13_1_x_JF_10_2,LH_13_1,LH_13,JF_10_2,JF_10,1.93255687
38,4,LH_13_1_x_JF_10_2,LH_13_1,LH_13,JF_10_2,JF_10,1.930511776
39,6,LH_13_1_x_JF_10_2,LH_13_1,LH_13,JF_10_2,JF_10,1.927403829
40,2,MC_1_1_x_JV_13_1,MC_1_1,MC_1,JV_13_1,JV_13,1.910486023
41,3,MC_1_1_x_JV_13_1,MC_1_1,MC_1,JV_13_1,JV_13,1.914558441
42,4,MC_1_1_x_JV_13_1,MC_1_1,MC_1,JV_13_1,JV_13,1.919049636
43,1,MP_2_2_x_JF_4_2B,MP_2_2,MP_2,JF_4_2B,JF_4,1.916408999
44,3,MP_2_2_x_JF_4_2B,MP_2_2,MP_2,JF_4_2B,JF_4,1.956430278
45,5,MP_2_2_x_JF_4_2B,MP_2_2,MP_2,JF_4_2B,JF_4,1.926877399
46,3,MP_5_1_x_SP_6B_2,MP_5_1,MP_5,SP_6B_2,SP_6B,1.922540953
47,4,MP_5_1_x_SP_6B_2,MP_5_1,MP_5,SP_6B_2,SP_6B,1.961563999
48,2,MP_5_1_x_SP_6B_2,MP_5_1,MP_5,SP_6B_2,SP_6B,1.881116914
49,2,MP_12_1_x_SP_16_2,MP_12_1,MP_12,SP_16_2,SP_16,1.938529692
50,3,MP_12_1_x_SP_16_2,MP_12_1,MP_12,SP_16_2,SP_16,1.97838419
51,4,MP_12_1_x_SP_16_2,MP_12_1,MP_12,SP_16_2,SP_16,1.879969419
52,2,MP_14_1_x_SP_6B_2,MP_14_1,MP_14,SP_6B_2,SP_6B,2.063008415
53,5,PR_16_2_x_WV_7_2,PR_16_2,PR_16,WV_7_2,WV_7,1.921761537
54,1,PR_16_2_x_WV_7_2,PR_16_2,PR_16,WV_7_2,WV_7,1.882467487
55,3,PR_16_2_x_WV_7_2,PR_16_2,PR_16,WV_7_2,WV_7,1.904594385
56,4,PR_2_1_x_WV_8_2,PR_2_1,PR_2,WV_8_2,WV_8,1.922910663
