id,cross,ht,wt,stemwid,NCap,NFl,dff,sla,damHt,damWt,damSW,damNCap,damNFl,damdff,damsla,sireHt,sireWt,sireSW,sireNCap,sireNFl,siredff,siresla,diffK1mean,diffK1sqmean
1,CB-9-1_x_PR-16-2,-13.72203565,-0.351001883,-0.211715582,1.374590306,-3.893771884,1.923391518,2.92E-14,9.111384879,2.836409428,0.286288255,4.054595512,-2.016416343,3.437900538,-0.100982986,-10.7960147,2.193645291,-0.006676514,3.430705289,4.314442478,-1.544518095,-0.351040734,0.284431,0.080900994
2,CB-9-1_x_WV-7-2,11.02577652,1.459860892,0.023655786,5.453508064,-4.175138635,3.187034494,-1.19E-14,9.111384879,2.836409428,0.286288255,4.054595512,-2.016416343,3.437900538,-0.100982986,16.51042258,2.517685684,0.691521463,2.132009912,-2.375540514,3.136568011,-0.16987236,0.610503,0.372713913
3,CH-2-2_x_MP-12-1,8.311232779,0.652445015,0.010671146,-1.241961952,3.144037131,-2.299001135,-1.92E-14,-4.945422329,0.084575469,0.309247221,1.512537413,1.850087373,-2.370470404,-0.294846262,8.151311708,0.285439261,0.143686198,2.361179193,0.050802864,-2.056523532,0.106794346,NA,NA
4,CO-11-1_x_FL-9-1,-13.40205914,-2.235041885,-0.159119707,1.891940531,-3.276901214,-0.040260504,1.23E-14,5.246505291,-1.560704136,-0.152449892,-4.463401017,-2.504741714,4.356810748,0.449395455,-3.114276281,-0.816877929,-0.108488231,2.52278311,0.752034258,-0.600574322,0.184117187,0.08684,0.007541186
5,CO-11-1_x_SP-20-2,0.223201603,1.595122993,0.113904505,3.866506797,0.396690955,-1.617566201,NA,5.246505291,-1.560704136,-0.152449892,-4.463401017,-2.504741714,4.356810748,0.449395455,-11.08592241,-0.718879702,0.075373194,-1.670770826,1.983319613,1.630983899,-0.236632426,0.333086,0.110946283
6,CO-6-2_x_CB-4-1,35.35580007,1.819249577,0.223724912,7.649274984,-8.818462374,6.421881199,1.90E-14,-4.497911145,2.447158702,0.048665055,3.324927682,-0.410776546,-0.771812444,-0.115298834,22.93476784,3.059793269,0.347450317,0.116349393,-1.961190952,3.878272874,-0.321900896,0.075061647,0.005634251
7,CO-9-1_x_HV-18-1,-2.69744743,2.106661394,-0.10873833,4.801561716,2.616196614,-0.307076267,9.52E-15,7.411058405,-0.431692894,-0.17245208,3.06097898,0.041614807,-0.304705695,0.076238877,-6.518041595,-1.5926372,-0.444183504,-1.114780621,0.826010066,1.015509091,0.176032523,0.314391,0.098841701
8,DF-19-2_x_CO-19-1,-11.74230863,-0.259632478,-0.25239884,-6.54218253,5.94539859,-1.216340266,-1.47E-14,-15.67993984,-3.046466027,-0.228778401,-3.092228897,-0.669178947,4.168476433,0.216869635,NA,NA,NA,NA,NA,NA,NA,0.484696308,0.234930511
9,FC-9-2_x_JF-25-1,-19.36216077,-4.123960316,-0.26956871,-1.364036019,-5.027019897,7.297576567,-5.92E-15,NA,NA,NA,NA,NA,NA,NA,7.445375553,0.949107837,0.063169391,-1.114780621,-1.628812742,1.081497111,-0.09423408,0.99998,0.99996
10,FL-6-2_x_LM-10-2,-2.30760706,0.472447697,-0.092336156,-0.972775351,7.808538417,-0.809917341,-9.62E-15,2.179918633,-1.461278599,-0.38720974,-2.235221649,-2.246339313,4.000715778,0.17057533,NA,NA,NA,NA,NA,NA,NA,0.118802,0.014113915
