id,benchPos,planting,cross,damInd,damRep,sireInd,sireRep,replicate,weight,SLAwt,dFF,dHarvest,height,stemWidth,noCapitula,noFlowers,damK1,sireK1,diffK1,K1notes,recorder
6,mid,2,CB-9-1_x_PR-16-2,CB_9,1,PR_16,2,3,18.9,NA,NA,85,5,3.51,0,0,0.32146,0.037029,0.284431,,Keith
2,mid,1,CB-9-1_x_PR-16-2,CB_9,1,PR_16,2,1,15,NA,NA,84,41.5,5.71,4,0,0.32146,0.037029,0.284431,,Steve_Keller
5,mid,1,CB-9-1_x_PR-16-2,CB_9,1,PR_16,2,4,16.1,6.7,NA,85,51.9,4.34,18,14,0.32146,0.037029,0.284431,,Ashlee_Nowell
4,mid,2,CB-9-1_x_PR-16-2,CB_9,1,PR_16,2,5,13.9,10.6,68,83,52.7,4.12,11,16,0.32146,0.037029,0.284431,,Steve_Keller
3,end,2,CB-9-1_x_PR-16-2,CB_9,1,PR_16,2,1,16.4,7.6,68,85,58.2,4.55,31,2,0.32146,0.037029,0.284431,,Ashlee_Nowell
1,mid,1,CB-9-1_x_PR-16-2,CB_9,1,PR_16,2,2,NA,NA,56,84,74.9,2.72,22,7,0.32146,0.037029,0.284431,,Ashlee_Nowell
7,mid,2,CB-9-1_x_PR-16-2,CB_9,1,PR_16,2,2,23.3,7.5,NA,85,77.5,6.51,27,9,0.32146,0.037029,0.284431,,Keith
8,mid,2,CB-9-1_x_WV-7-2,CB_9,1,WV_7,2,1,23.6,4.5,73,84,95.1,5.38,33,1,0.32146,0.931963,0.610503,,Steve_Keller
15,end,2,CH-2-2_x_MP-12-1,CH_2,2,MP_12,1,4,NA,NA,NA,71,64.2,4.72,17,11,NA,NA,NA,,NA
10,end,2,CH-2-2_x_MP-12-1,CH_2,2,MP_12,1,3,20.1,4.6,46,71,66,5.35,19,21,NA,NA,NA,,NA
9,mid,1,CH-2-2_x_MP-12-1,CH_2,2,MP_12,1,5,15.6,NA,NA,84,67.8,5.34,13,12,NA,NA,NA,dam K1s from pop too spread out,Ashlee_Nowell
12,mid,2,CH-2-2_x_MP-12-1,CH_2,2,MP_12,1,3,17.4,6.7,NA,85,73.4,4.56,5,28,NA,NA,NA,,Keith
14,end,2,CH-2-2_x_MP-12-1,CH_2,2,MP_12,1,1,19.6,4.2,NA,84,76.7,5.25,7,22,NA,NA,NA,,Maddi_Sorrentino
11,mid,2,CH-2-2_x_MP-12-1,CH_2,2,MP_12,1,4,16.4,5.8,53,83,88.2,4.53,16,10,NA,NA,NA,,Steve_Keller
13,mid,2,CH-2-2_x_MP-12-1,CH_2,2,MP_12,1,2,26.3,5.8,NA,85,89.4,5.71,24,10,NA,NA,NA,,Keith
16,end,2,CH-2-2_x_MP-12-1,CH_2,2,MP_12,1,2,21,NA,NA,71,92.6,5.92,27,3,NA,NA,NA,,NA
17,end,2,CH-2-2_x_MP-12-1,CH_2,2,MP_12,1,1,19.6,4.2,NA,71,98.2,6.08,15,0,NA,NA,NA,,NA
25,end,2,CO-11-1_x_FL-9-1,CO_1,1,FL_9,1,2,2.7,9.5,NA,85,14.6,3.94,0,0,0.15222,0.23906,0.08684,,Ashlee_Nowell
23,end,2,CO-11-1_x_FL-9-1,CO_1,1,FL_9,1,4,7.9,8.9,75,83,24,4.17,14,0,0.15222,0.23906,0.08684,,Steve_Keller
22,mid,1,CO-11-1_x_FL-9-1,CO_1,1,FL_9,1,4,18.7,5.5,53,85,46.3,4.48,13,18,0.15222,0.23906,0.08684,,Ashlee_Nowell
19,mid,1,CO-11-1_x_FL-9-1,CO_1,1,FL_9,1,3,18.5,NA,54,84,54.5,5.16,25,11,0.15222,0.23906,0.08684,,NA
27,mid,2,CO-11-1_x_FL-9-1,CO_1,1,FL_9,1,6,19.3,6.1,NA,83,56,4.56,29,9,0.15222,0.23906,0.08684,,Steve_Keller
28,end,2,CO-11-1_x_FL-9-1,CO_1,1,FL_9,1,5,NA,NA,NA,71,58.3,5.66,25,0,0.15222,0.23906,0.08684,,NA
21,end,2,CO-11-1_x_FL-9-1,CO_1,1,FL_9,1,3,21.7,7.1,47,84,60.8,5.42,8,20,0.15222,0.23906,0.08684,,Maddi_Sorrentino
18,mid,1,CO-11-1_x_FL-9-1,CO_1,1,FL_9,1,1,NA,NA,54,84,70.1,5.56,43,6,0.15222,0.23906,0.08684,,Steve_Keller
26,mid,2,CO-11-1_x_FL-9-1,CO_1,1,FL_9,1,1,18.5,5.8,NA,85,70.5,4.46,16,0,0.15222,0.23906,0.08684,,Keith
24,mid,2,CO-11-1_x_FL-9-1,CO_1,1,FL_9,1,5,16.8,6.1,75,84,72.3,5.26,16,13,0.15222,0.23906,0.08684,,Steve_Keller
20,mid,1,CO-11-1_x_FL-9-1,CO_1,1,FL_9,1,2,18.5,NA,NA,84,NA,NA,NA,NA,0.15222,0.23906,0.08684,,NA
29,mid,1,CO-11-1_x_SP-20-2,CO_1,1,SP_20,2,3,NA,NA,54,84,55.6,4.33,18,14,0.15222,0.485306,0.333086,,Ashlee_Nowell
32,end,2,CO-11-1_x_SP-20-2,CO_1,1,SP_20,2,2,17.8,NA,NA,71,70,6.04,14,11,0.15222,0.485306,0.333086,,Jane
33,end,2,CO-11-1_x_SP-20-2,CO_1,1,SP_20,2,1,NA,NA,NA,71,78,6.2,13,33,0.15222,0.485306,0.333086,,NA
30,end,1,CO-11-1_x_SP-20-2,CO_1,1,SP_20,2,4,21.8,NA,NA,85,82.4,6.43,36,3,0.15222,0.485306,0.333086,,Maddi_Sorrentino
31,mid,1,CO-11-1_x_SP-20-2,CO_1,1,SP_20,2,6,15.9,NA,NA,84,88.5,6.43,22,0,0.15222,0.485306,0.333086,,NA
34,mid,1,CO-6-2_x_CB-4-1,CO_6,2,CB_4,1,1,17.4,NA,NA,84,90.5,7.02,3,0,0.345647,0.420708647,0.075061647,sireK1 is average of population,NA
38,end,2,CO-6-2_x_CB-4-1,CO_6,2,CB_4,1,2,18.5,7.9,NA,85,94.3,4.86,17,2,0.345647,0.420708647,0.075061647,,Ashlee_Nowell
40,end,2,CO-6-2_x_CB-4-1,CO_6,2,CB_4,1,3,29.7,NA,NA,71,101.3,6.49,40,1,0.345647,0.420708647,0.075061647,,NA
